term,description
Hyperthyroidism,Thyroid hormones control the rate of many activities in your body. Hyperthyroidism means the thyroid makes more thyroid hormones than the body needs.
Bed Bugs,"Bed bugs - ugh! Also known as bedbugs, these critters bite and can make you itchy. Discover how to get rid of them, how to treat bites, and more."
Pressure Sores,Bedsores (decubitus ulcers) are caused by pressure to areas of skin when resting in a position for too long. Complications can be serious. Learn why.
Insect Bites and Stings,"You swat a bug off, but now you have an itchy bump. Was it a mosquito, a flea, a tick? Learn how to prevent, identify, and treat bug bites and stings."
Behcet's Syndrome,Behcet’s syndrome (or disease) causes inflammation of the blood vessels and symptoms in many parts of the body. Learn about diagnosis and treatment.
Gas,Passing gas can be embarrassing. But everyone does it. Find out the causes of gas and how to control burping and flatulence.
Bell's Palsy,Bell's palsy is the most common cause of facial paralysis. Symptoms appear suddenly and can range from mild to severe. Find out if you are at risk.
Abdominal Pain,Stomach aches can be painful. Find out what might be the cause of your abdominal pain.
Benefits of Exercise,"Regular exercise is one of the best things you can do for your health. Learn about all of the benefits, plus tips on adding exercise to your routine."
Enlarged Prostate (BPH),"Enlarged prostate, or benign prostatic hyperplasia (BPH), is a common problem in men over 50. Learn about the symptoms and treatments."
Benign Tumors,"Benign tumors may not be cancerous but do need to be removed by a doctor.
Find out more about benign tumors."
Bereavement,Losing someone you love is difficult. Everyone grieves differently. Get support for bereavement and learn more.
Brain Aneurysm,A brain aneurysm is a bulge or ballooning in a blood vessel in the brain. It is life-threatening it if bursts. Learn about the signs and symptoms.
Bipolar Disorder,"Bipolar disorder is a mood disorder that can cause intense mood swings. It's also called manic depression. Learn about the types, symptoms, treatment, and more."
Sports Safety,"If you play sports, your safety should be a priority. Learn how to prevent related injuries by taking the following precautions"
Bile Duct Cancer,"Bile duct cancer can be caused by liver diseases or colitis. Learn about bile duct cancer tests, diagnosis, treatment, and survival rates."
Bile Duct Diseases,"Infections, gallstones, and cancer can result in bile duct problems. Discover the types, causes, symptoms, and treatment of bile duct diseases."
Bile Duct Diseases,"Infections, gallstones, and cancer can result in bile duct problems. Discover the types, causes, symptoms, and treatment of bile duct diseases."
Bile Duct Diseases,"Infections, gallstones, and cancer can result in bile duct problems. Discover the types, causes, symptoms, and treatment of bile duct diseases."
Gallbladder Diseases,Gallbladder diseases begin when something blocks the flow of bile through the bile ducts. Uncover more facts about Gallbladder and its associated conditions.
Alcohol Use Disorder (AUD),An alcohol use disorder (AUD) is drinking that causes distress and harm. AUD can range from mild to severe (alcoholism). Learn the signs that you may have a problem with drinking.
Eating Disorders,"Did you know that more women than men have eating disorders? Learn more about eating disorders such as bulimia, anorexia, and binge eating."
Biodefense and Bioterrorism,Learn about and prepare for bioterrorism.  Biodefense  includes vaccines and other methods to protect against bioterrorism.
Medical Ethics,Most areas of healthcare have an ethical aspect. Learn about ethical issues in healthcare and bioethics.
Biodefense and Bioterrorism,Learn about and prepare for bioterrorism.  Biodefense  includes vaccines and other methods to protect against bioterrorism.
Biopsy,"If your doctor suspects you may have cancer or another disease, she may order a biopsy for you. Learn about the types of biopsies and more."
Biodefense and Bioterrorism,Learn about and prepare for bioterrorism.  Biodefense  includes vaccines and other methods to protect against bioterrorism.
B Vitamins,Do you get enough B vitamins in your diet? Not enough Vitamin B12 or Vitamin B6 can cause anemia. Find out what B vitamins do for your body.
Bipolar Disorder,"Bipolar disorder is a mood disorder that can cause intense mood swings. It's also called manic depression. Learn about the types, symptoms, treatment, and more."
Bird Flu,"The bird flu (also known as influenza A or the avian flu) primarily infects birds, but can pose health risks to people. Learn how to avoid this flu."
Birth Control,"Birth control, or contraception, is designed to prevent pregnancy. Read about the different options and their risks and benefits."
Birth Defects,"A birth defect is a problem that happens while a baby is developing in the mother's body. 
Learn about the different types of birth defects, their treatments, and how some kinds can be prevented."
Childbirth Problems,"Complications may happen during childbirth including preterm labor, problems with the umbilical cord or position of the baby, and birth injuries."
Birth Weight,Newborn babies vary in birth weight and size. Some low birth babies may have health issues. Get the facts on your baby's birth weight.
Birthmarks,"Birthmarks can be two main types: vascular, such as hemangiomas and port wine stains or pigmented, such as a mole or Mongolian spot. Find out more."
Spider Bites,"Spider bites generally garner a reaction similar to that of a bee sting, including redness, pain and swelling. Find tips on how to treat spider bites"
Bladder Cancer,Bladder cancer symptoms range from lower back pain to blood in your urine. Read about important risk factors and find a list of treatments available
Urinary Incontinence,"Urinary incontinence (UI), the loss of bladder control, is a common condition. Learn about the different types, symptoms, and causes of UI, and treatments."
Bladder Diseases,Many conditions can affect your bladder and put you at risk for bladder diseases. Read about some of the common bladder pains which includes Cystitis
Urinary Tract Infections,You may have a urinary tract infection (UTI) if you feel a burn while urinating or suffer from lower body pressure. Uncover a list of UTI symptoms
Interstitial Cystitis,"Do you suffer from discomfort or pain in the bladder? If yes, you may be dealing with Interstitial cystitis (IC). Read more about it"
Bleeding,"Bleeding is the loss of blood, inside or outside the body. A hemorrhage is severe bleeding. Learn about the causes of bleeding and how to treat it."
Bleeding Disorders,"With bleeding disorders, there is a problem with blood clotting. It may be hard to stop the bleeding. Read about bleeding disorders and treatments."
Gastrointestinal Bleeding,"Gastrointestinal bleeding can be a a signal of a serious disease. Find out about GI tract symptoms, tests, and related conditions."
Eyelid Disorders,"Your eyelids help protect your eyes. But they can droop, twitch, or become infected or inflamed. Learn about eyelid disorders and their treatment."
Vision Impairment and Blindness,"Vision impairment (low vision) and blindness can have many causes. If you lose vision, you can't get it back. But there are ways to manage; learn how."
Blisters,"Blisters are fluid-filled sacs on the outer layer of your skin. They form because of rubbing, heat, or skin diseases. Learn about how to prevent them."
Blood,Blood has many functions in your body. Blood tests help doctors check for certain diseases and conditions. Learn about blood types and blood tests.
Blood,Blood has many functions in your body. Blood tests help doctors check for certain diseases and conditions. Learn about blood types and blood tests.
Blood Count Tests,"Blood count tests help doctors check for certain diseases and conditions. Learn about blood count tests, like the complete blood count (CBC)."
Blood Clots,Your blood forms clots to stop bleeding. Some people get too many clots or their blood clots abnormally. Learn about the causes and treatments.
Pulmonary Embolism,A pulmonary embolism is a sudden blockage in a lung artery. The cause is usually a blood clot in the leg called deep vein thrombosis. Learn more.
Bleeding Disorders,"With bleeding disorders, there is a problem with blood clotting. It may be hard to stop the bleeding. Read about bleeding disorders and treatments."
Hemophilia,Hemophilia is a rare disorder in which the blood does not clot normally. Usually hemophilia usually occurs in males and is inherited. Learn more.
Blood Count Tests,"Blood count tests help doctors check for certain diseases and conditions. Learn about blood count tests, like the complete blood count (CBC)."
Blood Disorders,"Blood disorders affect one or more parts of the blood and prevent your blood from doing its job. Find out about the types, causes, and treatments."
Blood Transfusion and Donation,"Get information on blood donation, the blood donation process, and blood transfusion."
Blood Glucose,Your body processes the food you eat into glucose. Your blood carries glucose (blood sugar) to all of your body's cells to use for energy. Learn more.
Platelet Disorders,"Platelets help wounds heal and prevent bleeding by forming blood clots. Learn about problems from having too few, too many, or abnormal platelets."
Sepsis,"Sepsis is a serious illness and can lead to a life threatening condition called septic shock. Read about symptoms, treatment and risk factors for sepsis."
High Blood Pressure,High blood pressure (hypertension) develops when blood flows through arteries at higher than normal pressures. It increases the risk for heart disease and stroke.
Low Blood Pressure,"Some people have low blood pressure (hypotension). It is only a problem if it causes dizziness, fainting, or shock. Learn about what can cause it."
Vital Signs,"Your vital signs show how well your body is functioning. They include blood pressure, heart rate, respiratory rate (or pulse), and temperature."
Blood Pressure Medicines,"If lifestyle changes do not help to control or lower high blood pressure (hypertension), your health care provider may prescribe blood pressure medicines."
Blood Glucose,Your body processes the food you eat into glucose. Your blood carries glucose (blood sugar) to all of your body's cells to use for energy. Learn more.
Blood Count Tests,"Blood count tests help doctors check for certain diseases and conditions. Learn about blood count tests, like the complete blood count (CBC)."
Laboratory Tests,Laboratory tests help doctors determine what is going on within your body. Many factors affect test results. Find a list of those factors.
Blood Thinners,Anticoagulant and antiplatelet drugs are blood thinners. They reduce risk of heart attacks and help keep blood clots from forming. Learn more.
Blood Transfusion and Donation,"Get information on blood donation, the blood donation process, and blood transfusion."
Infection Control,"Every year, lives are lost because of the spread of hospital infections. Read about the preventive steps you can take, such as proper handwashing"
Occupational Health for Health Care Providers,Healthcare workers are exposed to many hazards. Ensure that you have an occupational health plan for your healthcare providers with following tips.
Body Weight,Do you know what the ideal body weight is for your sex and height? Find information and tools to help you learn more about your body weight.
Weight Control,About two thirds of adults in the U.S. are overweight or obese. A weight control strategy can help you keep a healthy weight.
Piercing and Tattoos,Tattoos and piercings are popular forms of body art that can be associated with serious health risks. Read this before getting new ink or piercings.
Plastic and Cosmetic Surgery,Cosmetic surgery is performed to reshape the appearance of body parts. Cosmetic surgery can create physical changes and changes in self-esteem.
Body Lice,Body lice are parasitic insects. They spread through physical contact with a person who has body lice or though contact with their clothing. They are most common in homeless people. Find out how to kn
Germs and Hygiene,Stopping the spread of germs is as easy as thoroughly washing your hands or covering your mouth when you sneeze or cough. Raise your hygiene IQ here.
Sweat,"Sweating (perspiration) is how your body cools itself. Too much of it is hyperhidrosis, too little is anhidrosis. Find out what is and isn't normal."
Body Weight,Do you know what the ideal body weight is for your sex and height? Find information and tools to help you learn more about your body weight.
Bone Cancer,"Bone cancer comes in three types: Osteosarcoma, Chondrosarcoma, and Ewing's sarcoma. Learn how bone cancer is diagnosed and treated."
Bone Density,Bone density or bone mineral density (BMD) is the amount of bone mineral in your bones. A BMD test measures bone health and risk for breaking bones.
Bone Diseases,Bone diseases increase your risk for breaking bones. Learn about different kinds of bone problems and how genetics can play a role.
Bone Grafts,A bone graft is a surgical procedure where bone tissue is transplanted from your body or a donor's. Bone grafts repair diseased bones and bone loss.
Bone Infections,Osteomyelitis is a bone infection. Learn about who is at risk for osteomyelitis and how these bone infections are treated and diagnosed.
Bone Density,Bone density or bone mineral density (BMD) is the amount of bone mineral in your bones. A BMD test measures bone health and risk for breaking bones.
Osteoporosis,Osteoporosis is a disease that weakens your bones and makes them more likely to break or fracture. There are no symptoms until the first bone break.
Bone Marrow Diseases,Bone marrow diseases affect your body's ability to make healthy blood cells. Learn the different causes and possible treatments.
Bone Marrow Transplantation,"Bone marrow transplantation replaces faulty bone marrow with healthy bone marrow from a donor. Learn about the possible risks, and procedure."
Bone Grafts,A bone graft is a surgical procedure where bone tissue is transplanted from your body or a donor's. Bone grafts repair diseased bones and bone loss.
Personality Disorders,People with personality disorders have trouble dealing with everyday stresses and problems. There are many types of personality disorders. Read more.
Herbal Medicine,"Herbal medicines are one type of dietary supplement. They are sold as tablets, capsules, powders, teas, extracts, and plants. Learn more."
Botox,Botox injections can be used to temporarily reduce wrinkles but can also treat other health problems such as severe sweating or lazy-eye. Learn how.
Botox,Botox injections can be used to temporarily reduce wrinkles but can also treat other health problems such as severe sweating or lazy-eye. Learn how.
Botulism,"Botulism is caused by a bacteria. It can be serious. Find out about symptoms, causes, how to prevent it."
Botulism,"Botulism is caused by a bacteria. It can be serious. Find out about symptoms, causes, how to prevent it."
Creutzfeldt-Jakob Disease,"Creutzfeldt-Jakob disease (CJD) is a rare, degenerative brain disorder. CJD progresses rapidly and is fatal. Learn how to prevent CJD."
Bowel Incontinence,"Learn about causes, treatment, and control of bowel incontinence. This condition is also called fecal incontinence."
Bowel Movement,Bowel movements have many names but it's all the same. Everyone has BMs.  Some are normal and some are irregular. Learn more.
Intestinal Obstruction,"Intestinal or bowel obstructions can have many causes. Learn about symptoms, diagnosis, and tests."
Enlarged Prostate (BPH),"Enlarged prostate, or benign prostatic hyperplasia (BPH), is a common problem in men over 50. Learn about the symptoms and treatments."
Orthodontia,"Orthodontia is the branch of dentistry that uses treatments such as braces, aligners, and retainers to straighten your teeth and correct your bite. Learn more."
Brachial Plexus Injuries,"Brachial plexus injuries occur due to shoulder trauma, tumors, or inflammation. Some injuries heal without treatment, others need PT or surgery."
Radiation Therapy,Radiation therapy is treatment used to stop the spread of cancer.  It must be carefully done to minimize side effects and maximize benefits.
Arrhythmia,"Arrhythmia, also called irregular heartbeat comes in different types. The most common is atrial fibrillation. Read about symptoms and treatment."
Brain Aneurysm,A brain aneurysm is a bulge or ballooning in a blood vessel in the brain. It is life-threatening it if bursts. Learn about the signs and symptoms.
Stroke,A stroke happens when blood flow to the brain is blocked. It is a medical emergency. Quick action can save a life and help with rehabilitation and recovery.
Brain Tumors,"A brain tumor is a growth of abnormal cells in the brain tissue. Learn the types of tumors, symptoms, how they are diagnosed and treatment options."
Concussion,"Concussion, a minor injury to the brain due to a blow or hit to the head. Symptoms may not show up right away. Learn when to see your doctor."
Brain Diseases,"Brain diseases affect different functions of the body from memory, speech, thinking clearly, how well the different organs work, or even movement."
Genetic Brain Disorders,"Genetic brain disorders affect the development and function of the brain. Some are inherited, some are caused by exposure, and others are both."
Hemorrhagic Stroke,Hemorrhagic stroke happens when a blood vessel breaks and bleeds into the brain. Learn about the symptoms and genetics behind hemorrhagic stroke.
Concussion,"Concussion, a minor injury to the brain due to a blow or hit to the head. Symptoms may not show up right away. Learn when to see your doctor."
Brain Malformations,Brain malformations is damage or abnormal development of the brain and nervous system. Starts long before a baby is born. Learn types and treatments.
Brain Tumors,"A brain tumor is a growth of abnormal cells in the brain tissue. Learn the types of tumors, symptoms, how they are diagnosed and treatment options."
Dengue,Dengue is an infection caused by a virus. You can get it if an infected mosquito bites you. Learn more about risk and prevention.
Breast Cancer,"Breast cancer is a cancer that starts in the breast tissue, when cells change and grow out of control. These extra cells can form a mass called a tumor."
Male Breast Cancer,"Did you know that men can get breast cancer? Although breast cancer is much more common in women, men can get it too. Learn more."
Breast Diseases,"Breast changes such as lumps, bumps, and discharge are common. Some causes can be aging, hormones, or medicines. Learn about symptoms and treatments."
Breast Reconstruction,"Breast reconstruction can rebuild the shape of the breast after a mastectomy for breast cancer. Read about the types of implants, the surgery and recovery."
Plastic and Cosmetic Surgery,Cosmetic surgery is performed to reshape the appearance of body parts. Cosmetic surgery can create physical changes and changes in self-esteem.
Breast Reconstruction,"Breast reconstruction can rebuild the shape of the breast after a mastectomy for breast cancer. Read about the types of implants, the surgery and recovery."
Plastic and Cosmetic Surgery,Cosmetic surgery is performed to reshape the appearance of body parts. Cosmetic surgery can create physical changes and changes in self-esteem.
Breastfeeding,Breastfeeding gives your baby the right nutrients and may protect your baby against some illness. Learn about all its benefits and how to breastfeed.
Bad Breath,There are many reasons why you might have bad breath (also known as halitosis) including a lack of dental hygiene. Learn about how you can prevent it.
Breathing Problems,"When you have breathing problems, such as shortness of breath, it's hard for you to take in the oxygen your body needs.  Find out what can cause this."
Vital Signs,"Your vital signs show how well your body is functioning. They include blood pressure, heart rate, respiratory rate (or pulse), and temperature."
Fractures,"A fracture is a partial or complete break in the bone. There are different causes and types of fractures. Symptoms include intense pain, swelling and bruising."
Asthma,Asthma causes one's airways to become sore and swollen. An attack means a person's lungs are getting less air. Learn about two types of treatment.
Bronchial Disorders,"The bronchi are two tubes that carry air to your lungs. Problems with the bronchi include bronchitis, bronchiectasis, and bronchiolitis. Learn more."
Bronchial Disorders,"The bronchi are two tubes that carry air to your lungs. Problems with the bronchi include bronchitis, bronchiectasis, and bronchiolitis. Learn more."
Bronchial Disorders,"The bronchi are two tubes that carry air to your lungs. Problems with the bronchi include bronchitis, bronchiectasis, and bronchiolitis. Learn more."
Respiratory Syncytial Virus Infections,"Respiratory Syncytial Virus (RSV) causes cold-like symptoms in adults and healthy children, but can cause serious problems in babies. Read more."
Acute Bronchitis,"Bronchitis is an inflammation of the airways that carry air to your lungs. Learn about acute bronchitis symptoms, causes, and treatment"
Chronic Bronchitis,Bronchitis is an inflammation of the airways that carry air to your lungs. Chronic bronchitis is a long-term condition. Discover symptoms and treatment.
Lung Cancer,"Lung cancer forms in tissues of the lung, usually in the cells that line the air passages. It is the leading cause of cancer death in both men and women."
Pneumonia,Pneumonia is an infection in one or both of the lungs. Symptoms of pneumonia vary to mild to severe. Read about the signs of pneumonia.
Spider Bites,"Spider bites generally garner a reaction similar to that of a bee sting, including redness, pain and swelling. Find tips on how to treat spider bites"
Bruises,"Learn about how bruises, or contusions, form. They happen when you get a blow or injury that breaks the small blood vessels under the skin."
Tooth Disorders,"There are a variety of problems associated with tooth disorders such as cavities and infections. Uncover the related symptoms, such as a toothache."
Creutzfeldt-Jakob Disease,"Creutzfeldt-Jakob disease (CJD) is a rare, degenerative brain disorder. CJD progresses rapidly and is fatal. Learn how to prevent CJD."
Plague,Plague is an infection caused by bacteria found mainly in rats and in the fleas that feed on them. There are three forms of plague.
Eating Disorders,"Did you know that more women than men have eating disorders? Learn more about eating disorders such as bulimia, anorexia, and binge eating."
Pemphigus,"Pemphigus and bullous pemphigoid are an autoimmune disorder, affects cells in your skin and mouth. Learn about symptoms, diagnosis, and treatment."
Bullying and Cyberbullying,"Bullying is when a person or group repeatedly harms someone on purpose. Cyberbullying is bullying that happens through text messages or online. Both can cause lasting harm. Learn the signs of bullying, and how to help a child who is being bullied."
Toe Injuries and Disorders,"Toe injuries and disorders include turf toe, bunions, sprains, fractures, and ingrown toenails. Read up on what causes toe pain and what can treat it."
Burns,"A burn is damage to your body's tissues caused by heat, chemicals, electricity, sunlight, or radiation. Read about the different types and treatments."
Gas,Passing gas can be embarrassing. But everyone does it. Find out the causes of gas and how to control burping and flatulence.
Bursitis,Bursitis is inflammation of fluid sacs between your joints. Bursitis symptoms include pain and swelling. Learn about how to relieve bursitis symptoms.
Coronary Artery Bypass Surgery,"Learn about coronary artery bypass surgery (or graft, CABG). It uses blood vessels from other areas of the body to bypass narrowed heart arteries."
Cesarean Delivery,"Learn about Cesarean delivery (C-section), surgery to deliver a baby through the mother's abdomen. It is done when a vaginal birth is not safe."
C. diff Infections,C. diff or C. difficile is a bacterium that causes diarrhea. You are more likely to get C. diff if you take antibiotics or are an older adult.
Coronary Artery Bypass Surgery,"Learn about coronary artery bypass surgery (or graft, CABG). It uses blood vessels from other areas of the body to bypass narrowed heart arteries."
Coronary Artery Disease,Coronary artery disease (CAD) is the most common type of heart disease. It can lead to angina and heart attack. Read about symptoms and tests.
Caffeine,Many people enjoy a cup of coffee or tea to give them a boost. But is it safe? Learn more about caffeine.
Calcium,Your body needs calcium for many reasons. Learn what foods are high in calcium and how much calcium you need in a healthy diet.
Corns and Calluses,"Corns and calluses are areas of thick skin, usually on the hands and feet. They happen because of repeated pressure or friction. Read about treatment."
Complementary and Integrative Medicine,"Complementary and Integrative Medicine, also called alternative medicine includes treatments that are not part of mainstream medicine. Read more."
Campylobacter Infections,"If you have diarrhea, bloating, and vomiting, you may have a campylobacter infection. How do you get it? How can you treat it? Learn more."
Leukodystrophies,Leukodystrophies are rare diseases that affect the cells of the brain and are often genetic. Find more information on these progressive diseases.
Cancer,"If you or someone you love has been diagnosed with cancer, learn about diagnosis, treatment, risk factors, coping and much more."
Cancer Alternative Therapies,There are options to consider when deciding about cancer treatment. Learn more about cancer alternative therapies that may help.
Tumors and Pregnancy,"Tumors during pregnancy are rare, but they can happen. Treatment depends on the type of tumor, whether it has spread, and your overall health."
Cancer Chemotherapy,Chemotherapy may help you fight the spread of cancer. Find out about the types of chemotherapy and side effects.
Cancer Immunotherapy,Immunotherapy is a cancer treatment that helps your immune system fight cancer. Learn about the different types.
Cancer in Children,You will have a lot of questions if your child is diagnosed with cancer. Many cancers in children can be treated. Learn about childhood cancers.
Cancer--Living with Cancer,Living with cancer is not easy. It can take a physical and emotional toll on your health. Learn how to cope with cancer in your daily life.
Yeast Infections,A yeast infection (also called candidiasis) is fungal infection that affects different body parts. Get the facts on it and associated problems.
Mobility Aids,Mobility aids help you walk or move if you are disabled or have an injury. Choosing these devices takes time and research. Learn more.
Canker Sores,Canker sores (Aphthous ulcers) are painful sores inside of the mouth. They are non-cancerous but can cause viral infections. Read about the triggers.
Marijuana,Marijuana contains the mind-altering chemical THC. Some U.S. states approve the use of medical marijuana. Read about marijuana and its effects.
Motor Vehicle Safety,Every year thousands of people in the U.S. die from car crashes. Read about how to be safe on the road.
Motor Vehicle Safety,Every year thousands of people in the U.S. die from car crashes. Read about how to be safe on the road.
Carbohydrate Metabolism Disorders,"Carbs include sugar, starch, and fiber. Some disorders affect how your body uses these nutrients, causing health problems. Learn more."
Carbohydrates,Carbohydrates are one of the basic food groups. Learn how to incorporate carbohydrates into a healthy diet.
Carbon Monoxide Poisoning,Carbon monoxide is known as the silent killer. It is a deadly gas that has no color or smell. Protect yourself and your family by learning more.
Carcinoid Tumors,"Carcinoid tumors can happen in the lungs or digestive tract. Learn about risk factors, tests, treatment, and more."
Cancer,"If you or someone you love has been diagnosed with cancer, learn about diagnosis, treatment, risk factors, coping and much more."
Sudden Cardiac Arrest,"In sudden cardiac arrest (SCA), an irregular heart rhythm causes the heart to stop beating. Without quick treatment, it causes sudden cardiac death. Find out more."
Heart Diseases,"Heart disease is the leading cause of death in the U.S. Learn about the different types of heart diseases, and what you can do to try to prevent them."
Heart Failure,"Heart failure, or congestive heart failure (CHF), means the heart can't pump enough blood. Learn about the signs, symptoms and causes."
Cardiac Rehabilitation,Cardiac rehabilitation (rehab) is a program to help you get better after heart problems or heart surgery.  Learn what it includes and how it can help.
Heart Surgery,Heart surgery is used to fix certain problems with the heart. Learn about the different procedures and why someone might need them.
Heart Health Tests,"Heart health tests, as part of a screening, or when you have, symptoms can help find heart diseases. Learn about imaging, stress, and other cardiac tests."
Cardiomyopathy,"Cardiomyopathy is a disease that causes the heart to become enlarged, thick, or stiff. Read about the different types, their symptoms, and treatments."
CPR,CPR (cardiopulmonary resuscitation) is an emergency technique used on someone whose heart or breathing has stopped. Learn it; you might save a life.
Esophagus Disorders,"You esophagus is the tube that carries food and liquids from your mouth to your stomach. Esophagus problems include GERD (reflux), cancer, esophagitis, and spasms. Learn about symptoms and treatments."
Heart Diseases,"Heart disease is the leading cause of death in the U.S. Learn about the different types of heart diseases, and what you can do to try to prevent them."
Vascular Diseases,Your vascular system is made up of blood vessels that carry blood to and from the heart. Learn about vascular diseases and their treatments.
Health Occupations,People with jobs in the medical field provide healthcare for millions of people. Find out about medical and healthcare careers.
Caregiver Health,"Caregiving can be rewarding, but it may also be stressful and sometimes even overwhelming. Learn how to prevent or relieve caregiver stress."
Caregivers,"Are you a caregiver? If so, you may have to help with cooking, paying bills, and more. Learn about caregiving and how to find support for yourself."
Alzheimer's Caregivers,Caring for someone who has Alzheimer's Disease can be stressful and overwhelming. It's important to take care of yourself. Learn how to find support.
Carotid Artery Disease,"In carotid artery disease, a waxy substance (plaque) clogs the arteries that bring blood to your brain and head. Find out how it cause a stroke."
Carotid Artery Disease,"In carotid artery disease, a waxy substance (plaque) clogs the arteries that bring blood to your brain and head. Find out how it cause a stroke."
Ischemic Stroke,"A stroke is a medical emergency that should be treated immediately. Read about the causes, symptoms and treatments for an ischemic stroke."
Carpal Tunnel Syndrome,Is the numbness and pain in your arm and wrist a passing cramp or carpal tunnel syndrome? Learn about carpal tunnel syndrome symptoms and treatment.
Motion Sickness,"Motion sickness can start suddenly, with a queasy feeling and cold sweats. Read about how you can prevent motion sickness while traveling."
Cartilage Disorders,Cartilage covers the ends of your bones. Sports injuries and other disorders can cause cartilage problems. Learn how to take care of your cartilage.
Animal Bites,Wild animals might attack if they are threatened or acting protective. Attacks by pets are more common. Learn how to avoid both types of animal bites.
CT Scans,"Doctors use CT scans (or CAT scans) to look for broken bones, cancers, blood clots, and more. Learn about the CT scan and what to expect during one."
Cat Scratch Disease,"If you feel sick after a you have been scratched or bitten by a cat, you may have cat scratch disease, also called cat scratch fever. Find out more."
Cataract,A cataract is a clouding of the lens in your eye. It affects your vision. Cataracts are very common in older people. Learn about symptoms and surgery.
Complex Regional Pain Syndrome,"Complex regional pain syndrome, CRPS or Reflex Sympathetic Dystrophy, RSD are chronic pain conditions. They cause intense pain and can spread."
Tooth Decay,You call it a cavity. Your dentist calls it tooth decay or dental caries. They're all names for a hole in your tooth. Find out how to prevent it.
Celiac Disease,"Coping with celiac disease can be challenging. Learn about gluten-free diets, signs and symptoms, tests, and more."
Electromagnetic Fields,"There are many sources of electromagnetic fields.  Some people worry about EM exposure and cancer, but research is inconclusive. Learn more."
Cellulitis,Cellulitis is an infection of the skin and deep underlying tissues. The cause is usually a type of strep bacteria. Learn about symptoms and treatment.
Brain Malformations,Brain malformations is damage or abnormal development of the brain and nervous system. Starts long before a baby is born. Learn types and treatments.
Cerebellar Disorders,"Cerebellar disorders are problems with the cerebellum, an area of the brain that controls coordination and balance. Ataxias is one of these disorders."
Brain Aneurysm,A brain aneurysm is a bulge or ballooning in a blood vessel in the brain. It is life-threatening it if bursts. Learn about the signs and symptoms.
Hemorrhagic Stroke,Hemorrhagic stroke happens when a blood vessel breaks and bleeds into the brain. Learn about the symptoms and genetics behind hemorrhagic stroke.
Cerebral Palsy,"Cerebral palsy, CP happens when areas of the brain that control movement and posture do not develop correctly or get damaged. Treatment can improve."
Stroke,A stroke happens when blood flow to the brain is blocked. It is a medical emergency. Quick action can save a life and help with rehabilitation and recovery.
Cervical Cancer,"Cervical cancer starts in the cells of the cervix, which is the lower, narrow end of the uterus. Long-lasting HPV infection causes almost all cervical cancers."
Cervical Cancer Screening,"Cervical cancer is caused by human papillomavirus (HPV). Reduce your risk of cervical cancer by having regular screening tests, and getting vaccinated against HPV."
Cervix Disorders,"The cervix is the lower part of a woman's uterus. Read about problems that can affect the cervix, like cervicitis (inflammation) and cervical polyps."
Ectopic Pregnancy,"In an ectopic, or tubal, pregnancy, a fertilized egg grows outside of the uterus. It can be dangerous for the mother. Know the symptoms to watch for."
Neck Injuries and Disorders,"Neck pain is very common and can happen for many reasons, such as overuse, muscle strain, or whiplash. Learn how to relieve neck pain."
Cervix Disorders,"The cervix is the lower part of a woman's uterus. Read about problems that can affect the cervix, like cervicitis (inflammation) and cervical polyps."
Cesarean Delivery,"Learn about Cesarean delivery (C-section), surgery to deliver a baby through the mother's abdomen. It is done when a vaginal birth is not safe."
Myalgic Encephalomyelitis/Chronic Fatigue Syndrome,Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a long-term illness. It causes severe fatigue and many other symptoms. Learn about managing them.
Chagas Disease,"Chagas disease, also called American trypanosomiasis, is a disease caused by a parasite. It is mainly spread by kissing bugs, which are common in Latin America. It is important to get early treatment. Learn about the signs and symptoms."
Eyelid Disorders,"Your eyelids help protect your eyes. But they can droop, twitch, or become infected or inflamed. Learn about eyelid disorders and their treatment."
Menopause,Menopause is when a woman stops having a period. The transition to menopause usually starts in your 40's. Know the symptoms and how to deal with them.
Charcot-Marie-Tooth Disease,"Charcot-Marie-Tooth disease, CMT affects your peripheral nerves. Interrupting messages to your brain about things around you, like touch."
Muscle Cramps,"Have you ever had sudden, painful cramps in a muscle? These muscle spasms (also called charley horse) are very common. Learn how to relieve the pain."
Chemical Emergencies,Are you prepared for a chemical emergency? Find out.
Chemical Emergencies,Are you prepared for a chemical emergency? Find out.
Chemical Emergencies,Are you prepared for a chemical emergency? Find out.
Cancer Chemotherapy,Chemotherapy may help you fight the spread of cancer. Find out about the types of chemotherapy and side effects.
Chest Injuries and Disorders,"Your chest is packed with vital organs, like the esophagus, lungs, and heart. Learn about the different types of chest injuries and chest disorders."
Chest Pain,"Chest pain can be caused by a heart attack, but it can have other causes. Learn about what they are, and when you should get immediate medical help."
Pulmonary Rehabilitation,"Pulmonary Rehabilitation is a medically supervised program to help people with chronic breathing problems, like COPD or cystic fibrosis. Learn more."
Smokeless Tobacco,Those who enjoy chewing tobacco think it's safer than smoking. But smokeless tobacco can also cause dangerous risks. Read about them.
Heart Failure,"Heart failure, or congestive heart failure (CHF), means the heart can't pump enough blood. Learn about the signs, symptoms and causes."
Chiari Malformation,Chiari Malformation (CMs) is a congenital condition in which brain tissue extends to the spinal canal. Learn about the different types and symptoms.
