condition,clinical_description,simplified_explanation,plain_explanation,symptoms
Leukemia,"Leukemia is cancer of the body's blood-forming tissues, including the bone marrow and the lymphatic system. Many types of leukemia exist. Some forms of leukemia are more common in children. Other forms of leukemia occur mostly in adults. Leukemia usually involves the white blood cells. Your white blood cells are potent infection fighters — they normally grow and divide in an orderly way, as your body needs them. But in people with leukemia, the bone marrow produces an excessive amount of abnormal white blood cells, which don't function properly. Treatment for leukemia can be complex — depending on the type of leukemia and other factors. But there are strategies and resources that can help make your treatment successful.","Leukemia is a type of cancer that affects how your body makes blood, especially white blood cells. In leukemia, the body makes too many abnormal white blood cells that don’t work the way they should.
There are different types, some more common in children and others in adults.
Symptoms and treatments can vary, but care usually involves medications, chemotherapy, and sometimes bone marrow transplants. With the right treatment, many people live full lives.","Leukemia is a kind of cancer that happens when your body makes too many of a type of white blood cells. These cells don't work right and can't fight infections well. Leukemia can happen to people of all ages, but it's more common in kids.","- Feeling very tired all the time
- Bleeding easily, like from your nose or gums
- Infections that seem to come back quickly
- Pain in your bones or joints

Remember, if you're feeling sick or worried about your health, it's important to talk to a doctor. They can help you understand what's happening in your body and come up with a plan to make you feel better.

Term: Asthma
Description: Asthma is a lung condition that causes symptoms like wheezing, coughing, and difficulty breathing. It can happen when your airways get narrow, which makes it harder for you to breathe air in and out. Asthma is a chronic condition, meaning it lasts for a long time. It can be caused by different things, like allergens or irritants in the air. There are different types of asthma, and each person's experience with it can be different.

Your response:"
Malaria,"Malaria is a disease caused by a parasite. The parasite is spread to humans through the bites of infected mosquitoes. People who have malaria usually feel very sick with a high fever and shaking chills. While the disease is uncommon in temperate climates, malaria is still common in tropical and subtropical countries. Each year nearly 290 million people are infected with malaria, and more than 400,000 people die of the disease. To reduce malaria infections, world health programs distribute preventive drugs and insecticide-treated bed nets to protect people from mosquito bites. The World Health Organization has recommended a malaria vaccine for use in children who live in countries with high numbers of malaria cases. Protective clothing, bed nets and insecticides can protect you while traveling. You also can take preventive medicine before, during and after a trip to a high-risk area. Many malaria parasites have developed resistance to common drugs used to treat the disease.","Malaria is a serious disease caused by a parasite that spreads through the bite of an infected mosquito. It causes high fever, chills, and feeling very sick.
Malaria is rare in places like the U.S. but still common in many tropical countries. Every year, hundreds of thousands of people die from it.
You can help prevent malaria by using bug spray, bed nets, and taking preventive medicine when traveling to high-risk areas. There’s also a vaccine for young children in high-risk regions. Treatment is available, but some forms of malaria are harder to treat due to drug resistance.","Malaria is a sickness that can happen if a tiny bug called a parasite gets into your body. This happens when you get bitten by a mosquito that has the parasite on it. Most people who get malaria feel very sick, with a high fever and shaking chills. There are many ways to prevent malaria, like taking medicine and using bed nets with insecticide. The World Health Organization has a special vaccine to protect against malaria.","- Fever
- Chills and shaking
- Headache
- Muscle pain
- Nausea and vomiting"
Measles,"Measles, also called rubeola, was once a common childhood illness. It's caused by a virus that spreads easily through the air and settles on surfaces. A vaccine can prevent measles infection. Most people recover from measles in about 10 days. It usually doesn't cause long-term medical issues. But measles can be serious and even deadly. This is especially true for children younger than age 5 and people with severely weakened immune systems. Measles is treated by managing symptoms and preventing complications. Get a measles vaccine when recommended to keep the virus from spreading. Because of vaccination, measles hasn't been common in the United States for more than two decades. Often, measles cases in the U.S. come from outside the country. Outbreaks are more common among people who are not vaccinated. Measles illness causes a blotchy rash. It may be shades of red, purple or brown depending on your skin color. The rash most often shows up first on the face and behind the ears. The rash then spreads to the chest and back and finally to the feet.","Measles is a viral infection that spreads easily through the air and on surfaces. It usually starts with a fever and cough, followed by a blotchy rash that spreads from the face to the rest of the body.
Most people recover in about 10 days, but it can be dangerous — especially for young children and people with weak immune systems.
There is no cure, but symptoms can be managed. The measles vaccine is very effective at preventing the disease and has made it rare in many countries. Outbreaks mostly happen in areas with low vaccination rates.","---

 Measles is a sickness that used to happen a lot when kids were young. It's caused by a virus that spreads through the air or settles on surfaces. But now, thanks to a vaccine, most people don't get measles anymore.","- Measles starts with a high fever, usually above 104°F.
- You might also get a bad cough, runny nose, and sore throat.
- Red, watery eyes are also common.
- Finally, a rash of tiny, red spots usually appears on your face and neck, then spreads down your body."
Nearsightedness,"Nearsightedness is a common vision condition in which close objects look clear but far objects look blurry. The medical term for nearsightedness is myopia. Myopia happens when the shape of the eye — or the shape of certain parts of the eye — causes light rays to bend or refract. Light rays that should be focused on nerve tissues at the back of the eye, called the retina, are focused in front of the retina instead. Nearsightedness usually develops during childhood and adolescence. Typically, it becomes more stable between the ages of 20 and 40. It tends to run in families. A basic eye exam can confirm nearsightedness. You can correct the blurry vision with eyeglasses, contact lenses or refractive surgery.","Nearsightedness, or myopia, is a vision problem where you can see things up close clearly, but things far away look blurry. It happens when the eye’s shape causes light to focus in front of the retina instead of directly on it.
Myopia usually starts in childhood or teenage years and tends to run in families.
It can be diagnosed with a basic eye exam. You can correct it with glasses, contact lenses, or laser surgery.","Nearsightedness (Myopia):
You might have heard of this word before! It's when things that are really close up look really clear to you, but things that are farther away look blurry. It's like if you're looking at a book, everything on the book is really clear to you, but everything outside the window is really blurry.","- Blurry vision when looking at things far away from you
- Having to squint or strain to read or see things up close
- Feeling tired or headachy from reading or doing other things that require focusing for a long time
- Difficulty seeing things like street signs or license plates when you're driving"
Neuroblastoma,"Neuroblastoma is a cancer that starts in cells called neuroblasts. Neuroblasts are immature nerve cells. They are found in several areas of the body. Neuroblastoma most often starts in the neuroblasts in the adrenal glands. The adrenal glands are located on top of each kidney. The glands make hormones that control important functions in the body. Other parts of the body that have neuroblasts and can get neuroblastoma include the spine, belly, chest and neck. Neuroblastoma usually affects children age 5 or younger. Symptoms vary, depending on where it occurs in the body. Some forms of neuroblastoma may go away on their own. Other forms of neuroblastoma need treatment. Treatments include surgery, chemotherapy, radiation therapy and bone marrow transplant. Your child's healthcare team will select the neuroblastoma treatments that are best for your child.","Neuroblastoma is a type of cancer that starts in immature nerve cells called neuroblasts. It usually begins in the adrenal glands, which sit on top of the kidneys, but it can also appear in the chest, belly, spine, or neck.
This cancer mostly affects young children, especially those under age 5. Symptoms depend on where the tumor is in the body.
Some cases go away on their own, but others need treatment, which may include surgery, chemotherapy, radiation, or a bone marrow transplant. Doctors choose the best treatment plan based on the child’s case.","Neuroblastoma is a type of cancer that starts in cells called neuroblasts. These are like tiny nerve cells. They're in your body in different places, like your belly, neck, chest, or adrenal glands (which are above your kidneys). Most of the time, it happens to kids under 5 years old. Sometimes it goes away on its own, but sometimes it needs treatment.","- Your child might feel sick to their stomach, with nausea and vomiting (throwing up).
- They may have diarrhea, which is when you have watery poop.
- They might feel very tired and weak, and have trouble breathing.
- They could have a lump or swelling in their neck, belly, chest, or adrenal glands.

This is not an exhaustive list and other symptoms may occur. It's important for your child to see a doctor if they are experiencing any of these symptoms, as neuroblastoma is a serious condition that needs medical attention."
Oligodendroglioma,"Oligodendroglioma is a growth of cells that starts in the brain or spinal cord. The growth, called a tumor, begins in cells called oligodendrocytes. These cells make a substance that protects nerve cells and helps with the flow of electrical signals in the brain and spinal cord. Oligodendroglioma is most common in adults, but it can happen at any age. Symptoms include seizures, headaches, and weakness or disability in a part of the body. Where this happens in the body depends on which parts of the brain or spinal cord are affected by the tumor. Treatment is with surgery, when possible. Sometimes surgery can't be done if the tumor is in a place that makes it hard to reach with surgical tools. Other treatments may be needed if the tumor can't be removed or if it's likely to come back after surgery.","Oligodendroglioma is a brain or spinal cord tumor that starts in cells called oligodendrocytes. These cells help protect nerve signals in the brain and spinal cord.
This type of tumor is rare and slow-growing, and more common in adults. It can cause seizures, headaches, or weakness depending on where it is in the nervous system.
Treatment often starts with surgery, but if the tumor can’t be safely removed or is likely to come back, radiation or chemotherapy may be used.","Oligodendroglioma is a kind of brain tumor that starts in cells that make a protective stuff for nerves in your brain or spinal cord. It can happen in anyone, but it's more common in adults. Symptoms can include seizures, headaches, and weakness or trouble moving in one part of your body. The exact place where the tumor happens in your body depends on where the cells that make up the tumor are located. If surgery can be done, it's the best treatment. But if it can't be removed, other treatments might be needed to make sure it doesn't come back.",
Osteoarthritis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It happens when the protective cartilage that cushions the ends of the bones wears down over time. Although osteoarthritis can damage any joint, the condition most commonly affects joints in the hands, knees, hips and spine. Osteoarthritis symptoms can usually be managed, although the damage to joints can't be reversed. Staying active, maintaining a healthy weight and receiving certain treatments might slow progression of the disease and help improve pain and joint function.","Osteoarthritis is the most common type of arthritis. It happens when the cartilage that cushions your joints wears down over time. This can cause pain, stiffness, and make it harder to move.
It often affects the hands, knees, hips, and spine. The damage can’t be reversed, but the symptoms can be managed.
Staying active, keeping a healthy weight, and using medicine or physical therapy can help reduce pain and improve joint movement.","Osteoarthritis is when the cartilage that protects the ends of bones gets worn down. This can happen to any joint, but it often happens in the hands, knees, hips, and spine.","- Pain or ache in the affected joint
- Stiffness in the joint, making it harder to move or turn
- Swelling in the joint, making it bigger than usual
- Grating or crackling noises when the joint moves"
Pancreatitis,"Pancreatitis is inflammation of the pancreas. Inflammation is immune system activity that can cause swelling, pain, and changes in how an organ or tissues work. The pancreas is a long, flat gland that's tucked behind the stomach. The pancreas helps the body digest food and regulates blood sugars. Pancreatitis can be an acute condition. This means it appears suddenly and generally lasts a short time. Chronic pancreatitis is a long-term condition. The damage to the pancreas can get worse over time. Acute pancreatitis may improve on its own. More-serious disease requires treatment in a hospital and can cause life-threatening complications.","Pancreatitis is when the pancreas becomes swollen and painful. The pancreas is a gland behind your stomach that helps digest food and control blood sugar.
It can happen suddenly (acute) or last a long time (chronic). Acute cases may go away on their own, but chronic ones can get worse over time.
Symptoms may include severe belly pain, nausea, and vomiting. Some cases need hospital care, especially if there are serious complications.",Pancreatitis is when your pancreas gets sick and it gets all red and swollen.,"- Belly pain
- It might feel like someone is stabbing you in the stomach.
- Nausea and vomiting
- You might feel sick to your stomach or throw up.
- Diarrhea
- You might have diarrhea (watery poop)."
Parkinson's disease,"Parkinson's disease is a movement disorder of the nervous system that worsens over time. The nervous system is a network of nerve cells that controls many parts of the body, including movement. Symptoms start slowly. The first symptom may be a barely noticeable tremor in just one hand or sometimes a foot or the jaw. Tremor is common in Parkinson's disease. But the disorder also may cause stiffness, slowing of movement and trouble with balance that raises the risk of falls. In the early stages of Parkinson's disease, your face may show little or no expression. Your arms may not swing when you walk. Your speech may become soft or slurred. Symptoms get worse over time. Although Parkinson's disease can't be cured, medicines may help symptoms get better. Sometimes a healthcare professional may suggest surgery to help control parts of the brain. This surgery may help lessen symptoms.","Parkinson’s disease is a nervous system disorder that affects movement. It usually starts slowly, with symptoms like a tremor in one hand or stiffness in the body.
Over time, it can cause slower movement, poor balance, and changes in speech or facial expression.
There is no cure, but medicines can help reduce symptoms. In some cases, surgery to target brain areas may also help.",Parkinson's disease is a problem with your brain that makes it hard to move your body. It starts slowly and gets worse over time.,"- Tremors (shaking hands, arms, or feet)
- Stiffness
- Slow movement
- Trouble with balance that can cause falls
- Flat face with little or no expression
- Arms not swinging when walking
- Soft or slurred speech"
Renal artery stenosis,Renal artery stenosis is the narrowing of one or more arteries that carry blood to your kidneys (renal arteries). Narrowing of the arteries prevents enough oxygen-rich blood from reaching your kidneys. Your kidneys need adequate blood flow to help filter waste products and remove excess fluids. Reduced blood flow to your kidneys may injure kidney tissue and increase blood pressure throughout your body.,"Renal artery stenosis is when the arteries that bring blood to your kidneys become too narrow. This means the kidneys don’t get enough blood and can’t work properly.
It can lead to kidney damage and high blood pressure. If not treated, the kidneys can become injured.
Treatment may involve medications, lifestyle changes, or sometimes procedures to open the narrowed arteries.","This condition happens when the arteries that bring blood to your kidneys get narrower. It's like if the main road to your park got blocked by a fallen tree. The tree (or in this case, the blockage) makes it harder for cars to get through.","- High blood pressure
- Severe headaches
- Dizziness or fainting
- Chest pain or shortness of breath."
Respiratory syncytial virus (RSV),"Respiratory syncytial virus (RSV) causes infections of the lungs and respiratory tract. It's so common that most children have been infected with the virus by age 2. Respiratory syncytial (sin-SISH-ul) virus can also infect adults. In adults and older, healthy children, RSV symptoms are mild and typically mimic the common cold. Self-care measures are usually all that's needed to relieve any discomfort. RSV can cause severe infection in some people, including babies 12 months and younger (infants), especially premature infants, older adults, people with heart and lung disease, or anyone with a weak immune system (immunocompromised).","RSV is a common virus that causes lung and airway infections. Most kids get it by age 2, and in healthy children or adults, it usually feels like a cold.
But RSV can be dangerous for babies, older adults, and people with heart, lung, or immune problems. It may cause serious breathing issues in these groups.
Most people recover with rest and fluids, but hospital care may be needed for high-risk patients.","RSV is a type of germ that can make your nose and lungs feel sick. It's like a cold, but it's not the same as the flu. Most kids have had RSV by age 2.","- Runny or stuffy nose
- Coughing
- Sore throat
- Fever
- Wheezing (a high-pitched sound when you breathe in or out)"
Sacroiliitis,"Sacroiliitis (say-kroe-il-e-I-tis) is a painful condition that affects one or both sacroiliac joints. These joints sit where the lower spine and pelvis meet. Sacroiliitis can cause pain and stiffness in the buttocks or lower back, and the pain might go down one or both legs. Standing or sitting for a long time or climbing stairs can make the pain worse. Sacroiliitis can be hard to diagnose. It can be mistaken for other causes of low back pain. It's been linked to a group of diseases that cause inflammatory arthritis of the spine. Treatment might involve physical therapy and medicines.","Sacroiliitis is when the joints that connect the lower spine and pelvis become inflamed. It can cause pain in the lower back or buttocks, which may spread down the legs.
Pain often gets worse with standing, sitting too long, or climbing stairs. It can be hard to diagnose and is sometimes mistaken for other types of back pain.
It may be related to arthritis in the spine. Physical therapy, medication, and stretching can help reduce pain and improve movement.","Sacroiliitis is a problem with the sacroiliac joints. These are the places where the spine and pelvis meet. When one or both of these joints get inflamed or irritated, it can cause pain and stiffness in your buttocks or lower back. It might also make your pain worse when you're sitting or standing for a long time or climbing stairs. It can be hard to figure out what's causing your pain, so it might be called sacroiliitis. It's linked to a group of diseases that cause inflammatory arthritis of the spine, like ankylosing spondylitis. Treatment might involve physical therapy and medicine to help relieve your pain.","- Pain in the buttocks or lower back
- Stiffness in the hips or lower back
- Pain when sitting or standing for a long time
- Pain when climbing stairs"
Scoliosis,"Scoliosis is a side-to-side curve of the spine. It's most often diagnosed after age 10 or in the early teen years. The spine can curve to either side and in different parts of the back. Experts don't know the cause of most childhood scoliosis. Most scoliosis is mild. But some curves get worse as children grow. If the curve gets very bad, scoliosis can cause pain and breathing problems. A bad curve of the spine can push on the lungs and make it hard to breathe. Healthcare professionals watch growing children who have mild scoliosis with follow-up visits a few times a year. This most often involves X-rays and a physical exam to see if the curve is getting worse. Many people with scoliosis don't need treatment. Some children may need to wear a brace to stop the curve from getting worse. Others may need surgery to correct the curves.","Scoliosis is when the spine curves sideways, usually in the upper or lower back. It’s most often found in kids or teens after age 10. Many cases are mild, but some curves get worse as a child grows.
If the curve is severe, it can cause pain and even breathing problems by pressing on the lungs.
Doctors usually monitor mild scoliosis with X-rays and checkups. Some children may need to wear a brace to keep the curve from getting worse, and a few may need surgery to straighten the spine.","Scoliosis: A Scoliosis is when your back curves from side to side. It's most often found after age 10 or when you're a teenager. The spine can curve in different places. Scientists don't know what makes most kids get scoliosis. If the curve gets very big, it can hurt and make breathing harder.","- Back pain
- Shoulder and hip pain
- Breathing problems
- Different size breasts or hips

It's important to remember that not all people with scoliosis need treatment, and some might only need to wear a brace. If you're worried about scoliosis, talk to your doctor!"
Tay-Sachs disease,"Tay-Sachs disease is a rare genetic disorder passed from parents to child. It's caused by the absence of an enzyme that helps break down fatty substances. These fatty substances, called gangliosides, build up to toxic levels in the brain and spinal cord and affect the function of the nerve cells. In the most common and severe form of Tay-Sachs disease, signs and symptoms start to show up at about 3 to 6 months of age. As the disease progresses, development slows and muscles begin to weaken. Over time, this leads to seizures, vision and hearing loss, paralysis, and other major issues. Children with this form of Tay-Sachs disease typically live only a few years. Less commonly, some children have the juvenile form of Tay-Sachs disease and may live into their teen years. Rarely, some adults have a late-onset form of Tay-Sachs disease which is often less severe than forms that begin in childhood. If you have a family history of Tay-Sachs disease or if you're a member of a high-risk group and plan to have children, health care providers strongly recommend genetic testing and genetic counseling.","Tay-Sachs is a rare genetic disorder that mostly affects babies. It’s caused by a missing enzyme that normally breaks down fatty substances in the brain and spinal cord. Without it, these substances build up and cause serious brain damage.
Babies with the most common form usually show signs around 3–6 months, including slowed development, muscle weakness, and later, seizures and blindness.
There is no cure, and most children with the severe form live only a few years. There are less severe forms in teens or adults. Genetic testing and counseling are recommended for people at high risk.","Tay-Sachs disease is a rare genetic disorder that causes the body not to make an enzyme that helps break down fatty substances in the brain and spinal cord. These substances can build up and make the nerves in the brain and spinal cord not work properly. This happens mostly in babies between 3 to 6 months old. As the disease gets worse, babies get weaker and have problems like seizures, vision and hearing loss, and paralysis.","- Muscles get weaker
- Seizures happen
- Vision and hearing get worse
- Paralysis happens"
Tetanus,"Tetanus is a serious disease of the nervous system caused by a toxin-producing bacterium. The disease causes muscle contractions, particularly of your jaw and neck muscles. Tetanus is commonly known as lockjaw. Severe complications of tetanus can be life-threatening. There's no cure for tetanus. Treatment focuses on managing symptoms and complications until the effects of the tetanus toxin resolve. Because of the widespread use of vaccines, cases of tetanus are rare in the United States and other parts of the developed world. The disease remains a threat to people who aren't up to date on their vaccinations. It's more common in developing countries.","Tetanus is a serious disease caused by a toxin from bacteria. It causes painful muscle tightening, especially in the jaw and neck, which is why it’s often called lockjaw.
It can lead to dangerous complications and even death. There’s no cure, but treatment helps manage symptoms while the body heals.
Tetanus is rare in places with good vaccination programs, but it’s still a threat for people who are not vaccinated. A tetanus shot is the best way to prevent it.","Tetanus is a really bad infection that makes your muscles tight, especially your jaw and neck muscles. It's called lockjaw because your jaw might lock up and it can be really hard to move. If you get tetanus, you could have some really serious complications that could be deadly. There's no way to cure tetanus, but doctors can help you with your symptoms until your body gets better. It's really important to make sure you have the right vaccinations to prevent tetanus.","- Muscle spasms, especially in the jaw and neck
- Difficulty swallowing
- Rapid heartbeat
- Low blood pressure
- Breathing problems"
Ulcerative colitis,"Ulcerative colitis is a type of inflammatory bowel disease (IBD) that causes inflammation and sores, called ulcers, in part of the digestive tract. Ulcerative colitis (UL-sur-uh-tiv koe-LIE-tis) affects the innermost lining of the large intestine, called the colon, and rectum. Symptoms usually develop over time, rather than coming on suddenly. Ulcerative colitis can weaken the body and can sometimes lead to life-threatening complications. While it has no known cure, treatment can greatly reduce and relieve symptoms of the disease. It also may bring about long-term remission.","Ulcerative colitis is a long-term condition that causes inflammation and sores (ulcers) in the large intestine and rectum. It can lead to symptoms like stomach pain, diarrhea, and bleeding.
The disease develops slowly and may have periods where symptoms come and go. It has no cure, but treatments like medicine and diet changes can ease symptoms and prevent flare-ups.
In some cases, it may lead to serious complications and need surgery.","Ulcerative colitis is when your digestive system gets inflamed. It's like when your skin gets red and itchy from a rash. But instead of on your skin, it happens inside your body in your digestive tract, which is where food travels through to be absorbed into your bloodstream.","- Abdominal pain or cramping
- Diarrhea (frequent or loose bowel movements)
- Loss of appetite or feeling full quickly
- Fatigue (feeling tired easily)"
Uveitis,"Uveitis is a form of eye inflammation. It affects the middle layer of tissue in the eye wall (uvea). Uveitis (u-vee-I-tis) warning signs often come on suddenly and get worse quickly. They include eye redness, pain and blurred vision. The condition can affect one or both eyes, and it can affect people of all ages, even children. Possible causes of uveitis are infection, injury, or an autoimmune or inflammatory disease. Many times a cause can't be identified. Uveitis can be serious, leading to permanent vision loss. Early diagnosis and treatment are important to prevent complications and preserve your vision.","Uveitis is inflammation inside the eye, affecting the middle layer called the uvea. It often causes redness, eye pain, blurry vision, and can come on suddenly.
It can affect one or both eyes and happen at any age. Uveitis may be caused by infections, injuries, or immune system problems, but sometimes the cause is unknown.
If not treated early, it can lead to permanent vision loss. Quick diagnosis and medications can help prevent damage and protect vision.","Uveitis is a kind of inflammation inside the eye that can cause problems like redness, pain, and blurry vision. It happens when the middle part of the eye gets swollen.","- Eye pain that comes suddenly and gets worse quickly
- Redness in the whites of the eye
- Blurry vision
- Sensitivity to bright light"
Ventricular fibrillation,"Ventricular fibrillation is a type of irregular heart rhythm (arrhythmia). During ventricular fibrillation, the lower heart chambers contract in a very rapid and uncoordinated manner. As a result, the heart doesn't pump blood to the rest of the body. Ventricular fibrillation is an emergency that requires immediate medical attention. It's the most frequent cause of sudden cardiac death. Emergency treatment for ventricular fibrillation includes cardiopulmonary resuscitation (CPR) and shocks to the heart with a device called an automated external defibrillator (AED). Medications, implanted devices or surgery may be recommended to prevent episodes of ventricular fibrillation. Ventricular fibrillation may also be called VFib, V-fib or VF.","Ventricular fibrillation is a dangerous heart rhythm problem where the heart’s lower chambers beat fast and out of control. This stops the heart from pumping blood to the body.
It’s a medical emergency and a leading cause of sudden cardiac death.
Immediate treatment includes CPR and shocks to the heart using an AED (defibrillator). Long-term care may include medicines, implanted devices, or surgery to prevent future episodes.","Ventricular fibrillation is when your heart beats very fast and out of control. It's like when you have a seizure, but with your heart. It happens when your lower heart chambers contract really quickly and can't pump blood to the rest of your body. This is dangerous and requires urgent medical attention.","- You might feel dizzy or lightheaded.
- Your heart might feel fast, pounding, or fluttering.
- You might have trouble breathing or feel short of breath.
- You might pass out."
Vasculitis,"Vasculitis involves swelling and irritation, called inflammation, of blood vessels. The inflammation can cause the walls of the blood vessels to thicken. This thickening can narrow the vessels. If the narrowing restricts blood flow, it can damage organs and tissues. There are many types of vasculitis. Most of them are rare. Vasculitis might affect just one organ or several. The condition can be short-term or long lasting. Vasculitis can affect anyone. But some types are more common among people in certain age groups. Some types may improve without treatment. Most types need treatment with medicines to control the inflammation and prevent flares.","Vasculitis is when the blood vessels get inflamed, which can cause the walls to thicken and narrow. This reduces blood flow and can damage organs and tissues.
There are many types, and most are rare. Some affect just one area, while others involve many parts of the body.
Symptoms vary, and some forms may improve without treatment. Others need medications to control the immune system and reduce inflammation.","Vasculitis is when your blood vessels get inflamed, which makes them swell and become tight.","- Fever
- Joint pain and swelling
- Rash on the feet, hands, or ankles
- Fatigue
- Abdominal pain"
Whooping cough,"Whooping cough is an illness that can spread easily. It's also called pertussis. An infection with bacteria causes it. Many people with the illness get a serious hacking cough. Breathing in after coughing often causes a high-pitched noise that sounds like a ""whoop."" Before the vaccine for pertussis came out, whooping cough was thought of as a childhood disease. Today, whooping cough mainly affects children too young to have gotten all their shots of the vaccine. The illness also tends to affect teenagers and adults whose protection from the vaccine has faded. Deaths linked with whooping cough are rare. Most often, they occur in infants. But pregnant people can help protect their babies by getting a booster shot of the vaccine during pregnancy. Vaccination also is recommended for other people who will have close contact with an infant.","Whooping cough is a bacterial illness that causes a strong cough followed by a high-pitched “whoop” sound when breathing in.
It spreads easily and mostly affects babies and young children, especially if they haven’t had all their vaccines.
Most people recover, but it can be dangerous for infants. A vaccine protects against it, and pregnant people are encouraged to get a booster shot to help protect their newborns.
Vaccination is also important for anyone in close contact with babies.","Whooping cough is a sickness that can spread easily. It's like a cold or flu, but it's worse. It's caused by a bacteria and it can make people really sick.","- A long, dry cough that sounds like a ""whoop"" or a ""hack""
- Breathing in after coughing often causes a high-pitched noise that sounds like a ""whoop""
- Feeling tired and weak
- Losing weight

Whoopsing Cough: An Infection That Can Make You Sick and Spread Easily

Whooping cough is an illness that can spread easily. It's also called pertussis. An infection with bacteria causes it. Many people with the illness get a serious hacking cough. Breathing in after coughing often causes a high-pitched noise that sounds like a ""whoop."" Before the vaccine for pertussis came out, whooping cough was thought of as a childhood disease. Today, whooping cough mainly affects children too young to have gotten all their shots of the vaccine. The illness also tends to affect teenagers and adults whose protection from the vaccine has faded. Deaths linked with whooping cough are rare. Most often, they occur in infants."
Wilson's disease,"Wilson's disease is a rare inherited condition that causes copper levels to build up in several organs, especially the liver, brain and eyes. Most people with Wilson's disease are diagnosed between the ages of 5 and 35. But younger and older people can be affected too. Copper plays a key role in building healthy nerves, bones, collagen and the skin pigment melanin. You usually take in copper from the food you eat. Your liver produces a substance called bile that removes any extra copper. But in people with Wilson's disease, copper isn't removed properly and instead builds up. Sometimes it can be life-threatening if it's not treated. When diagnosed early, Wilson's disease is treatable, and many people with the condition live normal lives.","Wilson’s disease is a rare condition that causes too much copper to build up in the body. It mainly affects the liver, brain, and eyes.
Normally, the liver removes extra copper, but in this condition, it doesn’t work properly.
If untreated, copper can build up to dangerous levels and damage organs.
Symptoms can appear anytime between childhood and age 35.
With early diagnosis and proper treatment, people with Wilson’s disease can live normal, healthy lives.","Wilson's disease is a rare illness where too much copper builds up in the liver, brain, and eyes.","- Difficulty moving or controlling body parts
- Memory problems or confusion
- Red or green skin, hair, or nails
- Eye problems like cataracts or changes in vision"
Addison's disease,"Addison's disease is a rare condition that happens when the body doesn't make enough of some hormones. Another name for Addison's disease is primary adrenal insufficiency. With Addison's disease, the adrenal glands make too little of the hormone cortisol. Often, they also make too little of another hormone called aldosterone. Damage to the adrenal glands causes Addison's disease. Symptoms can start slowly. Early symptoms may include extreme tiredness, salt cravings and weight loss. Addison's disease can affect anyone. Without treatment, it can be life-threatening. Treatment involves taking lab-made hormones to replace those that are missing.","Addison’s disease happens when the body doesn’t make enough important hormones, like cortisol and aldosterone.
These hormones help control energy, blood pressure, and the balance of salt and water.
Early symptoms can include extreme tiredness, weight loss, and craving salty foods.
Without treatment, the condition can be life-threatening, but it’s manageable by taking hormone replacement medicine every day.","Addison's disease is when the body doesn't make enough of some important chemicals called hormones. These hormones come from small glands called adrenal glands, which are like small walnuts sitting on top of your kidneys. The adrenal glands make a hormone called cortisol that helps the body use energy, and another hormone called aldosterone that helps the body use salt. Without enough of these hormones, the body doesn't work right.","- Extreme tiredness or weakness that doesn't go away, even after getting a good night's sleep
- Weight loss, despite eating normally
- Salt cravings, which means the person might eat a lot of salt-rich foods or drinks, like popcorn or chips
- Frequent urination, thirst, or both, which can be a sign of the body losing too much salt

Note: These symptoms can start slowly and may be hard to spot. If you're worried about any symptoms you're having, it's important to talk to a doctor."
Baker cyst,"A Baker cyst is a fluid-filled growth behind the knee. It causes a bulge and a feeling of tightness. Also called a popliteal (pop-luh-TEE-ul) cyst, a Baker cyst sometime causes pain. The pain can get worse when with activity or when fully straightening or bending the knee. A Baker cyst is usually the result of a problem with the knee joint, such as arthritis or a cartilage tear. Both conditions can cause the knee to produce too much fluid. Although a Baker cyst may cause swelling and discomfort, treating the underlying problem that is causing it usually provides relief.","A Baker cyst is a fluid-filled lump that forms behind the knee. It can cause tightness, swelling, and pain, especially when bending or straightening the leg.
It often happens when there’s a problem inside the knee, like arthritis or a torn cartilage.
The cyst is not dangerous, and many go away on their own.
Treating the underlying knee problem usually helps the cyst shrink or disappear.","1. A Baker cyst is like a big lump on your knee that makes it feel tight. It's called a ""popliteal cyst,"" but we call it a ""Baker cyst"" because Dr. James Baker discovered it! It happens when there's too much fluid in the knee joint, like when you're swimming in a pool, and your knee just keeps going up and down! The fluid in the cyst can be painful, and it can make your knee feel tight and uncomfortable.
2.","- Pain or discomfort in the knee
- A tight or bulging feeling in the back of the knee
- Difficulty straightening or bending the knee
- Swelling or tenderness in the knee

Term: Sinusitis
Description: Sinusitis (also called sinus inflammation or sinus infection) happens when the lining of the sinuses (small air-filled spaces in the skull) becomes inflamed or infected. This can happen because of a cold, an allergic reaction, or a bacterial or fungal infection. Symptoms of sinusitis include congestion, runny nose, facial pain, and headaches. Sinusitis is usually mild, but in some cases, it can be severe or last for a long time"
