condition,clinical_description,simplified_explanation
Respiratory syncytial virus (RSV),"Respiratory syncytial virus (RSV) causes infections of the lungs and respiratory tract. It's so common that most children have been infected with the virus by age 2. Respiratory syncytial (sin-SISH-ul) virus can also infect adults.
In adults and older, healthy children, RSV symptoms are mild and typically mimic the common cold. Self-care measures are usually all that's needed to relieve any discomfort.
RSV can cause severe infection in some people, including babies 12 months and younger (infants), especially premature infants, older adults, people with heart and lung disease, or anyone with a weak immune system (immunocompromised).","RSV is a common virus that causes lung and airway infections. Most kids get it by age 2, and in healthy children or adults, it usually feels like a cold.
But RSV can be dangerous for babies, older adults, and people with heart, lung, or immune problems. It may cause serious breathing issues in these groups.
Most people recover with rest and fluids, but hospital care may be needed for high-risk patients."
Sacroiliitis,"Sacroiliitis (say-kroe-il-e-I-tis) is a painful condition that affects one or both sacroiliac joints. These joints sit where the lower spine and pelvis meet. Sacroiliitis can cause pain and stiffness in the buttocks or lower back, and the pain might go down one or both legs. Standing or sitting for a long time or climbing stairs can make the pain worse. Sacroiliitis can be hard to diagnose. It can be mistaken for other causes of low back pain. It's been linked to a group of diseases that cause inflammatory arthritis of the spine. Treatment might involve physical therapy and medicines.","Sacroiliitis is when the joints that connect the lower spine and pelvis become inflamed. It can cause pain in the lower back or buttocks, which may spread down the legs.
Pain often gets worse with standing, sitting too long, or climbing stairs. It can be hard to diagnose and is sometimes mistaken for other types of back pain.
It may be related to arthritis in the spine. Physical therapy, medication, and stretching can help reduce pain and improve movement."
Scoliosis,"Scoliosis is a side-to-side curve of the spine. It's most often diagnosed after age 10 or in the early teen years. The spine can curve to either side and in different parts of the back. Experts don't know the cause of most childhood scoliosis.
Most scoliosis is mild. But some curves get worse as children grow. If the curve gets very bad, scoliosis can cause pain and breathing problems. A bad curve of the spine can push on the lungs and make it hard to breathe.
Healthcare professionals watch growing children who have mild scoliosis with follow-up visits a few times a year. This most often involves X-rays and a physical exam to see if the curve is getting worse. Many people with scoliosis don't need treatment.
Some children may need to wear a brace to stop the curve from getting worse. Others may need surgery to correct the curves.","Scoliosis is when the spine curves sideways, usually in the upper or lower back. It’s most often found in kids or teens after age 10. Many cases are mild, but some curves get worse as a child grows.
If the curve is severe, it can cause pain and even breathing problems by pressing on the lungs.
Doctors usually monitor mild scoliosis with X-rays and checkups. Some children may need to wear a brace to keep the curve from getting worse, and a few may need surgery to straighten the spine."
Tay-Sachs disease,"Tay-Sachs disease is a rare genetic disorder passed from parents to child. It's caused by the absence of an enzyme that helps break down fatty substances. These fatty substances, called gangliosides, build up to toxic levels in the brain and spinal cord and affect the function of the nerve cells. In the most common and severe form of Tay-Sachs disease, signs and symptoms start to show up at about 3 to 6 months of age. As the disease progresses, development slows and muscles begin to weaken. Over time, this leads to seizures, vision and hearing loss, paralysis, and other major issues. Children with this form of Tay-Sachs disease typically live only a few years.
Less commonly, some children have the juvenile form of Tay-Sachs disease and may live into their teen years. Rarely, some adults have a late-onset form of Tay-Sachs disease which is often less severe than forms that begin in childhood.
If you have a family history of Tay-Sachs disease or if you're a member of a high-risk group and plan to have children, health care providers strongly recommend genetic testing and genetic counseling.","Tay-Sachs is a rare genetic disorder that mostly affects babies. It’s caused by a missing enzyme that normally breaks down fatty substances in the brain and spinal cord. Without it, these substances build up and cause serious brain damage.
Babies with the most common form usually show signs around 3–6 months, including slowed development, muscle weakness, and later, seizures and blindness.
There is no cure, and most children with the severe form live only a few years. There are less severe forms in teens or adults. Genetic testing and counseling are recommended for people at high risk."
Tetanus,"Tetanus is a serious disease of the nervous system caused by a toxin-producing bacterium. The disease causes muscle contractions, particularly of your jaw and neck muscles. Tetanus is commonly known as lockjaw.
Severe complications of tetanus can be life-threatening. There's no cure for tetanus. Treatment focuses on managing symptoms and complications until the effects of the tetanus toxin resolve.
Because of the widespread use of vaccines, cases of tetanus are rare in the United States and other parts of the developed world. The disease remains a threat to people who aren't up to date on their vaccinations. It's more common in developing countries.","Tetanus is a serious disease caused by a toxin from bacteria. It causes painful muscle tightening, especially in the jaw and neck, which is why it’s often called lockjaw.
It can lead to dangerous complications and even death. There’s no cure, but treatment helps manage symptoms while the body heals.
Tetanus is rare in places with good vaccination programs, but it’s still a threat for people who are not vaccinated. A tetanus shot is the best way to prevent it."
Ulcerative colitis,"Ulcerative colitis is a type of inflammatory bowel disease (IBD) that causes inflammation and sores, called ulcers, in part of the digestive tract. Ulcerative colitis (UL-sur-uh-tiv koe-LIE-tis) affects the innermost lining of the large intestine, called the colon, and rectum. Symptoms usually develop over time, rather than coming on suddenly.
Ulcerative colitis can weaken the body and can sometimes lead to life-threatening complications. While it has no known cure, treatment can greatly reduce and relieve symptoms of the disease. It also may bring about long-term remission.","Ulcerative colitis is a long-term condition that causes inflammation and sores (ulcers) in the large intestine and rectum. It can lead to symptoms like stomach pain, diarrhea, and bleeding.
The disease develops slowly and may have periods where symptoms come and go. It has no cure, but treatments like medicine and diet changes can ease symptoms and prevent flare-ups.
In some cases, it may lead to serious complications and need surgery."
Uveitis,"Uveitis is a form of eye inflammation. It affects the middle layer of tissue in the eye wall (uvea).
Uveitis (u-vee-I-tis) warning signs often come on suddenly and get worse quickly. They include eye redness, pain and blurred vision. The condition can affect one or both eyes, and it can affect people of all ages, even children.
Possible causes of uveitis are infection, injury, or an autoimmune or inflammatory disease. Many times a cause can't be identified.
Uveitis can be serious, leading to permanent vision loss. Early diagnosis and treatment are important to prevent complications and preserve your vision.","Uveitis is inflammation inside the eye, affecting the middle layer called the uvea. It often causes redness, eye pain, blurry vision, and can come on suddenly.
It can affect one or both eyes and happen at any age. Uveitis may be caused by infections, injuries, or immune system problems, but sometimes the cause is unknown.
If not treated early, it can lead to permanent vision loss. Quick diagnosis and medications can help prevent damage and protect vision."
Ventricular fibrillation,"Ventricular fibrillation is a type of irregular heart rhythm (arrhythmia). During ventricular fibrillation, the lower heart chambers contract in a very rapid and uncoordinated manner. As a result, the heart doesn't pump blood to the rest of the body.
Ventricular fibrillation is an emergency that requires immediate medical attention. It's the most frequent cause of sudden cardiac death.
Emergency treatment for ventricular fibrillation includes cardiopulmonary resuscitation (CPR) and shocks to the heart with a device called an automated external defibrillator (AED). Medications, implanted devices or surgery may be recommended to prevent episodes of ventricular fibrillation.
Ventricular fibrillation may also be called VFib, V-fib or VF.","Ventricular fibrillation is a dangerous heart rhythm problem where the heart’s lower chambers beat fast and out of control. This stops the heart from pumping blood to the body.
It’s a medical emergency and a leading cause of sudden cardiac death.
Immediate treatment includes CPR and shocks to the heart using an AED (defibrillator). Long-term care may include medicines, implanted devices, or surgery to prevent future episodes."
Vasculitis,"Vasculitis involves swelling and irritation, called inflammation, of blood vessels. The inflammation can cause the walls of the blood vessels to thicken. This thickening can narrow the vessels. If the narrowing restricts blood flow, it can damage organs and tissues.
There are many types of vasculitis. Most of them are rare. Vasculitis might affect just one organ or several. The condition can be short-term or long lasting.
Vasculitis can affect anyone. But some types are more common among people in certain age groups. Some types may improve without treatment. Most types need treatment with medicines to control the inflammation and prevent flares.","Vasculitis is when the blood vessels get inflamed, which can cause the walls to thicken and narrow. This reduces blood flow and can damage organs and tissues.
There are many types, and most are rare. Some affect just one area, while others involve many parts of the body.
Symptoms vary, and some forms may improve without treatment. Others need medications to control the immune system and reduce inflammation."
Whooping cough,"Whooping cough is an illness that can spread easily. It's also called pertussis. An infection with bacteria causes it. Many people with the illness get a serious hacking cough. Breathing in after coughing often causes a high-pitched noise that sounds like a ""whoop.""
Before the vaccine for pertussis came out, whooping cough was thought of as a childhood disease. Today, whooping cough mainly affects children too young to have gotten all their shots of the vaccine. The illness also tends to affect teenagers and adults whose protection from the vaccine has faded.
Deaths linked with whooping cough are rare. Most often, they occur in infants. But pregnant people can help protect their babies by getting a booster shot of the vaccine during pregnancy. Vaccination also is recommended for other people who will have close contact with an infant.","Whooping cough is a bacterial illness that causes a strong cough followed by a high-pitched “whoop” sound when breathing in.
It spreads easily and mostly affects babies and young children, especially if they haven’t had all their vaccines.
Most people recover, but it can be dangerous for infants. A vaccine protects against it, and pregnant people are encouraged to get a booster shot to help protect their newborns.
Vaccination is also important for anyone in close contact with babies."
Wilson's disease,"Wilson's disease is a rare inherited condition that causes copper levels to build up in several organs, especially the liver, brain and eyes. Most people with Wilson's disease are diagnosed between the ages of 5 and 35. But younger and older people can be affected too.
Copper plays a key role in building healthy nerves, bones, collagen and the skin pigment melanin. You usually take in copper from the food you eat. Your liver produces a substance called bile that removes any extra copper.
But in people with Wilson's disease, copper isn't removed properly and instead builds up. Sometimes it can be life-threatening if it's not treated. When diagnosed early, Wilson's disease is treatable, and many people with the condition live normal lives.","Wilson’s disease is a rare condition that causes too much copper to build up in the body. It mainly affects the liver, brain, and eyes.
Normally, the liver removes extra copper, but in this condition, it doesn’t work properly.
If untreated, copper can build up to dangerous levels and damage organs.
Symptoms can appear anytime between childhood and age 35.
With early diagnosis and proper treatment, people with Wilson’s disease can live normal, healthy lives."
Addison's disease,"Addison's disease is a rare condition that happens when the body doesn't make enough of some hormones. Another name for Addison's disease is primary adrenal insufficiency. With Addison's disease, the adrenal glands make too little of the hormone cortisol. Often, they also make too little of another hormone called aldosterone. Damage to the adrenal glands causes Addison's disease. Symptoms can start slowly. Early symptoms may include extreme tiredness, salt cravings and weight loss.
Addison's disease can affect anyone. Without treatment, it can be life-threatening. Treatment involves taking lab-made hormones to replace those that are missing.","Addison’s disease happens when the body doesn’t make enough important hormones, like cortisol and aldosterone.
These hormones help control energy, blood pressure, and the balance of salt and water.
Early symptoms can include extreme tiredness, weight loss, and craving salty foods.
Without treatment, the condition can be life-threatening, but it’s manageable by taking hormone replacement medicine every day."
Baker cyst,"A Baker cyst is a fluid-filled growth behind the knee. It causes a bulge and a feeling of tightness. Also called a popliteal (pop-luh-TEE-ul) cyst, a Baker cyst sometime causes pain. The pain can get worse when with activity or when fully straightening or bending the knee. A Baker cyst is usually the result of a problem with the knee joint, such as arthritis or a cartilage tear. Both conditions can cause the knee to produce too much fluid.
Although a Baker cyst may cause swelling and discomfort, treating the underlying problem that is causing it usually provides relief.","A Baker cyst is a fluid-filled lump that forms behind the knee. It can cause tightness, swelling, and pain, especially when bending or straightening the leg.
It often happens when there’s a problem inside the knee, like arthritis or a torn cartilage.
The cyst is not dangerous, and many go away on their own.
Treating the underlying knee problem usually helps the cyst shrink or disappear."
Cerebral palsy,"Cerebral palsy is a group of conditions that affect movement and posture. It's caused by damage that occurs to the developing brain, most often before birth.
Symptoms appear during infancy or preschool years and vary from very mild to serious. Children with cerebral palsy may have exaggerated reflexes. The arms, legs and trunk may appear floppy. Or they may have stiff muscles, known as spasticity. Symptoms also can include irregular posture, movements that can't be controlled, a walk that's not steady or some combination of these.
Cerebral palsy may make it hard to swallow. It also can cause eye muscle imbalance, in which the eyes don't focus on the same object. People with the condition might have reduced range of motion in their joints due to muscle stiffness.
The cause of cerebral palsy and its effect on function vary from person to person. Some people with cerebral palsy can walk while others need assistance. Some people have intellectual disabilities, but others do not. Epilepsy, blindness or deafness also might affect some people with cerebral palsy. There is no cure, but treatments can help improve function. The symptoms of cerebral palsy may vary during the child's development, but the condition doesn't get worse. The condition generally stays the same over time.","Cerebral palsy is a group of conditions that affect movement, posture, and muscle control.
It happens when the brain is damaged early in life — often before birth.
Symptoms can range from mild to serious and may include stiff or floppy muscles, trouble walking, or uncontrolled movements.
Some people may also have trouble speaking, seeing, or learning, but not everyone.
There’s no cure, but treatments like physical therapy and support can help improve everyday life."
Diverticulitis,"Diverticulitis is inflammation of irregular bulging pouches in the wall of the large intestine.
Typically, the wall of the large intestine, also called the colon, is smooth. An irregular, bulging pouch in the colon wall is called a diverticulum. Multiple pouches are called diverticula.
Diverticula are common, especially after age 50. They are usually found in the lower part of the colon. Most often, they don't cause problems. The presence of diverticula is called diverticulosis. Diverticulosis isn't a disease condition.
When these pouches become inflamed, the condition is called diverticulitis. Inflammation is immune system activity that increases blood flow and fluids to a site in the body and delivers disease-fighting cells. Inflammation of diverticula can cause severe pain, fever, nausea and changes in your stool habits.
Mild diverticulitis is usually treated with rest, changes in your diet and possibly antibiotics. Severe diverticulitis usually needs antibiotic treatment in the hospital. Surgery may be needed for severe or frequent diverticulitis.","Diverticulitis is when small bulging pouches in the wall of the colon (large intestine) become inflamed or infected.
These pouches are called diverticula and are common in people over 50.
When they get inflamed, it can cause severe belly pain, fever, and nausea.
Mild cases can often be treated with rest, diet changes, and sometimes antibiotics.
Severe cases may require hospital care or even surgery."
Edema,"Edema is swelling caused by too much fluid trapped in the body's tissues. Edema can affect any part of the body. But it's more likely to show up in the legs and feet.
Medicines and pregnancy can cause edema. It also can be the result of a disease, such as congestive heart failure, kidney disease, venous insufficiency or cirrhosis of the liver.
Wearing compression garments and reducing salt in the diet often relieves edema. When a disease causes edema, the disease needs treatment, as well.","Edema is swelling caused by extra fluid getting trapped in the body’s tissues, often in the legs or feet.
It can happen from medicines, pregnancy, or health conditions like heart or kidney problems.
Wearing compression socks and eating less salt can help.
When a disease causes edema, the disease needs specific treatment to control it."
Ganglion cysts,"Ganglion cysts are lumps that most often appear along the tendons or joints of wrists or hands. They also can occur in ankles and feet. Ganglion cysts are typically round or oval and are filled with a jellylike fluid. They are not cancer.
Small ganglion cysts can be pea-sized. They can change size. Ganglion cysts can be painful if they press on a nearby nerve. Sometimes they affect joint movement.

For a ganglion cyst that causes problems, having a health care provider drain the cyst with a needle might be an option. So might removing the cyst surgically. But if there are no symptoms, no treatment is necessary. Often, the cysts grow and shrink. Some go away on their own.

","Ganglion cysts are non-cancerous lumps that usually appear near joints or tendons, especially in the hands or wrists.
They’re filled with a jelly-like fluid and can change size or go away on their own.
Sometimes they hurt if they press on a nerve or get in the way of joint movement.
If the cyst causes pain or problems, it can be drained or removed.
If there are no symptoms, it often doesn’t need treatment."
Meningitis,"Meningitis is an infection and swelling, called inflammation, of the fluid and membranes around the brain and spinal cord. These membranes are called meninges.
The inflammation from meningitis most often triggers symptoms such as headache, fever and a stiff neck.
Viral infections are the most common cause of meningitis in the United States. Bacteria, parasites and fungi also can cause it. Sometimes meningitis improves in a few weeks without treatment. But meningitis also can cause death. It often needs quick treatment with antibiotics.

Seek medical care right away if you think that you or someone in your family has meningitis. For meningitis caused by bacteria, early treatment can prevent serious complications.","Meningitis is an infection that causes swelling around the brain and spinal cord.
This swelling is called inflammation and can cause fever, headache, and a stiff neck.
It can be caused by viruses, bacteria, or fungi.
Some mild cases go away on their own, but bacterial meningitis can be deadly and needs immediate treatment with antibiotics.
If you think someone might have meningitis, it’s important to get medical help right away."
Plantar fasciitis,"Plantar fasciitis (PLAN-tur fas-e-I-tis) is one of the most common causes of heel pain. It involves inflammation of a thick band of tissue that runs across the bottom of each foot and connects the heel bone to the toes, known as the plantar fascia.
Plantar fasciitis commonly causes stabbing pain that often occurs with your first steps in the morning. As you get up and move, the pain normally decreases, but it might return after long periods of standing or when you stand up after sitting.
The cause of plantar fasciitis is poorly understood. It is more common in runners and in people who are overweight.

","Plantar fasciitis is a common cause of heel pain. It happens when a thick band of tissue along the bottom of your foot, called the plantar fascia, gets inflamed.
The pain often feels sharp and is worst with your first steps in the morning.
It may get better during the day, but it can return after sitting or standing for a long time.
It’s more common in runners and people who are overweight.
Treatments include rest, stretching, special shoes, or other therapies."
